id,name,firstTime,lastTime,options
stall,模擬店大賞,2024_05_25_10_00,2024_05_26_14_00,"チュロス,ポテト・唐揚げ"
cosplay,仮想,2024_5_25_10_00,2024_5_25_13_30,"1人,2人,3人"
exhibition," 展示",2024_5_25_10_00,2024_05_26_14_00,"[謎解き(I2),すごろく(K2)]"
muscle,キン肉マンコンテスト,2024_5_25_10_00,2024_5_25_13_30,"1人,2人,3人"
voice,いい声選手権,2024_5_25_10_00,2024_5_25_13_30,"1人,2人,3人"
